aabad,Populated
tanseem,Soft Wind
tanshray,TBD
tanshu,Lord Shiva; Quite Nature
tansu,Long Life
tansukh,Happiness of Body
tansuman,Body and Heart Touching
tantav,A Son
tantra,Treatises on Ritual, Meditation
tantrayin,The Sun
tantrika,Ambition
tantu,Particle; Brilliance
tanu,Slender; Delicate; Body
tanubhav,Son
tanuj,Brightness; Son; Beloved
tanuja,Born of the Body; Beloved Daughter
tanul,To Expand; Progress
tanulip,TBD
tanun,The Wind
tanunpat,Self Generated; Lord Shiva
tanurj,With Heat in the Body
tanush,Lord Ganesh, Lord Shiva
tanvay,Gold; God Ganesh Strong Eye
tanveer,Brightness, Eng-lightened
tanvesh,TBD
tanvik,King
tanvin,Possessed of a Body
tanvir,Strong, Enlightened, Smart
tanwesh,Self Searching, Ambition
tanya,Worthy of Praise
tapabrata,Son of the Mighty Sun; Worshipper
tapan,Sun, Summer, Tapasvi
tapana,Illuminating
tapaniya,TBD
tapankar,Sunbeam
tapanmani,The Sun-stone
tapanpal,Protector of Warmth
tapara,Strong
tapas,Heat; Penance; Ascetic; Saint
tapasendra,Lord Shiva
tapash,Sage; Long Meditation; Pray
tapashvi,One who does Long Meditation
tapashya,Long Meditation
tapaspati,Lord of Meditation; Ascetic
tapasraj,The Moon
tapasranjan,Lord Vishnu
tapasvat,Pious; Ascetic
tapaswi,An Ascetic
tapasya,Produced by Heat; Long Meditation
tapati,To Heat Up
tapendra,Lord of Heat (Sun)
tapesh,The Holy Trinity
tapeshwar,Lord Shiva
tapi,A Name of River; Warm
tapij,A Gem
tapishnu,Burning
tapishwar,TBD
tapit,Refined Gold
tapodhan,Rich in Religious Austerities
tapodyuti,TBD
tapoj,Born from Meditation
tapomay,Full of Moral Virtue
tapomaya,The Holy Trinity
tapomool,Morally Strict; Simple
taponidhi,Lord Shiva
taporaj,Moon
taporati,Rejoicing in Religious Austerities
taporavi,The Sun; A Rishi
taposhan,One with Moral Values
tapti,Warm
tapu,Generous; Talented
tapur,Gold
taqdeer,Destiny, Regard, Esteem
tara,A Star
tarachand,Star
tarachandra,Star; Moon
taradhish,Lord of the Stars
tarak,Star; Pupil of Eye; Protector; Eye
tarakesh,Hair Like a Star
tarakeshwar,Lord Shiva
taraknath,Lord Shiva
taraksh,Mountain
taraksha,Holding Arrows
tarakshya,The Sun
taral,Liquid; Honeybee
taramandal,Lord Shiva
taran,Raft, Heaven, The Saviour of All
taranath,Mountain
taranisen, 
taranjot,Star 
taranjot,Light of Redemption
tarank,Saviors 
tarankit,Star Spangled
taransh,A Star, Intelligent
tarant,Thunder; Ocean 
tarantha,Raft; Heaven
tarantuk,Boat
tarapada,In the Feet of Goddess Kaali
taraprashad,Star
taraprashad,Star 
taras,Created; Thirst; Poseidon's Son; …
tarasankar,Wave
tarasvin,Quick; Energetic
taraswat,Quick; Violent; Energetic
taraswin,Brave; Shakti ka rup 
taraswin,Brave; Face of Strength
taravali,Zodiac
tarchand,Star 
tareena, 
tareesh,TBD
taren,Child like; Thor's Settlement
tarendra,Prince of stars 
tarendra,Prince of Stars
taresh,God of the Stars; Moon 
tarif,Unique; Admiration
tarik,Method; Way; Mode; Manner; One who crosses the river of life; Morningstar 
tarik,One who Crosses the River of Life
tarique,Morning Star, Variant of Tariq
tarish,Raft; Boat; Competent person; The ocean 
tarit,Lightning 
tarit,Lightning
tariyal, 
tarkesh,Prince of Stars
tarkeshwar,Lord Shiva 
tarkeshwar,Lord Shiva
tarkshya,TBD
tarnish,Harmony; Conqueror of World
tarok,Shooting star; Lord Shiva 
tarok,Shooting Star; Lord Shiva
taroosh,Heaven; Small boat 
taroosh,Heaven; Small Boat
tarosh,Heaven; Small boat 
tarpan,Refreshing; Delightful; Satisfying 
tarsa,With a Fine Shape; Raft; Ocean
tarsh,Wish; Thirst; Desire; Shapely; Profit; Boat; Ocean; Sun boat 
tarsh,Desire; Wish; Thrust; Lucky Star
tarshit,Thirsty; Desirous 
taru,Little Plant; Small Plant
tarun,Connection; Young; Youth; Ageless; Gentle 
tarun,Sun, Young, Youth, Tender, Love
tarun dav,Young; Youth; Tender 
tarun vijay,Youth 
tarunak,Youthful
tarundeep,Light of Sun; Young; Youth; Tender; Lord Ganesha 
tarundeep,Light of Sun, Young, Youth
tarunendra,TBD
tarunendu,The New Moon
tarunesh,Young; Youth 
tarunesh,Youth
taruntapan,Morning Sun 
taruntapan,Morning Sun
tarunya,Brightness
tarus,Light
tarusa,Conqueror 
tarush,Conqueror; Small plant; Victor 
tarutra,Superior
tashi,Fortunate, Auspicious, Prosperity
tashk,TBD
tashmaya,Devotional Feeling; Up to Him
tashwik,Lord Shiva
tashwin,Born to Win; Independent 
tasmay,The Meaning of Dattatray for the Word Tasmai 
tasmee,Love 
tasneem,A Fountain of Paradise
taspandra,TBD
tasya,One who will be Reborn
tatat,Buy
tatavarti,Coastal
tathagat,The Buddha, Title of the Buddha 
tathagat,Lord Buddha
tathagata,The Buddha, Title of the Buddha 
tathagata,The Buddha
tathaghat,The Enlightened; The Awaken
tatharaj,Lord Buddha 
tatharaj,Buddha
tathvik,Philosophy 
tathvish,Lord Shiva (Tathva) and Vishnu
tathya,Fact; Truth; Lord Shiva 
tatleen,Absorbed in the Ultimate Truth
tatsam,Co-coordinator 
tatshae,Word from Shloka; Part of Shloka
tatshai,Word from Mantras
tatshat,Word from Mantras
tatshay,Auspicious
tatthya,Truth
tatva,Element 
tatva,Element
tatvagyanaprad,Granter of Wisdom
tatvagyanaprad,Granter of wisdom 
tatvagyanaprada,Granter of wisdom 
tatya,Fact; Truth; Lord Shiva 
tatya,Lord Shiva
tauheed,Victorious
taulik,Painter 
taurus,Bull-like, refers to the saint Taurinus, born under the sign of Taurus 
tautesh,Guardian of the Banks
tautik,Pearl 
tavalin,One with God in maditation; Religious; Meditative 
tavan,Firm
tavanesh,Another name of Lord Shiva 
tavasya,Strength 
tavin,Hillside, Variant of Thomas, Twin
tavish,Heaven; Strong; Brave; Vigorous; Ocean; Gold ocean 
tayak,Moonlight
tayak,Moonlight 
tayappa, 
tayin,Protector
taymullah,Servant of God
teeluckraj,King of Kings
teer, 
teeraj,Tree near a shore 
teeravika, 
teeravika,TBD
teerth,A holy place; Sacred water; Place of pilgrimage 
teerthankar,A Jain Saint
teerthankar,A Jain saint; Lord Vishnu 
tefo,Love; Payment; Reward
tegan,Doe
tegh,Holy Place, Sacred Water
teijinder,Genius; Brilliant
tej,Light; Lustrous; Power; Brilliance; Glory; Security 
tej,Bright, Lustrous
teja,A Light Ray, Prowess
teja surya,Radiant; Bright 
tejadeva,God of Power; Agni
tejai,To Glow
tejai,To glow 
tejal,Bright; Lustrous; Glowing
tejam,Tej i am 
tejan,Bamboo
tejandra,Sharpness; Light
tejansh,Energy; Brightness 
tejapaal,Projector of Vigour; Splendour
tejapala,Controller of Power
tejas,Sharpness, Brightness, Brilliance
tejas,Sharpness; Brightness; Tip of the flame; Light; Brilliance; Gold; Power; Might honour; Fire; Spirit brilliance 
tejaschand,Very Bright; Sharp; Powerful
tejash,Sharpness; Brightness; Tip of the flame; Light; Brilliance; Gold; Power; Might honour; Fire; Spirit brilliance 
tejashri,With Divine Power and Grace
tejashvi,TBD
tejashwith,Strong Rays of Sun
tejaskara,TBD
tejaskaya,TBD
tejaskumar,Full of Brightness, Lustrous
tejasva,Sharp; Bright
tejasvat,Splendid, Bright, Glorious
tejasveer,Intelligent
tejasvi,Energetic; Gifted; Brilliant
tejasvin,Splendid, Powerful, Bright
tejasvin,Lustrous or bright or radiant or intelligent; Brave; Powerful; Celebrated; Energetic; Noble; Brilliant 
tejaswee,Full of Brightness
tejaswi,Radiant Personality
tejaswin,Bright; Radiant Personality
tejaswin,Lustrous or bright or radiant or intelligent; Brave; Powerful; Celebrated; Energetic; Noble; Brilliant 
tejaswith,Radiant Personality
tejavardhan,Glorious for Ever
tejavardhan,Glorious for Ever 
tejavati,TBD
tejay,A Strong Ray of Sun
tejbahadur,Radiant One who is Brave also
tejdnya,Shining intelligence 
tejender,Source of Energy 
tejendra,The Lord Sun
tejendra,The Lord The Sun 
tejesh,God of brightness, Lord Surya 
tejeshwar,The Sun 
tejeshwar,The Sun; Lord of Brightness
tejeswar,Brightness of World
tejeswara,Full of Brightness
teji,Very Fast
tejindar,God of Grandeur
tejinder,God of Splendour / Grandeur
tejindra,Glorious Chief
tejisth,Very Sharp and Bright
tejistha,Very Sharp; Hot; Bright
tejit,Radiant, Sharpness, Fast
tejit,Whetted; Sharpened 
tejitha,Radiant, Energetic, Fast
tejiyas,TBD
tejkumar,Morning Rays of Sun
tejo-mahalaya,Temple of Lord Shiva
tejobhadra,Artist; Careful; Influencer 
tejomay,Glorious 
tejomay,Glorious
tejomaya,Full of Effulgence
tejoram,Lord Vishnu
tejorasi,Name of a Jain Guru
tejorath,A King
tejovanth,Radiant Person
tejovikas,Shine with brightness 
tejovikas,Shine with Brightness
tejpal,Protector of splendor; Quick 
tejpartap,Glory - Splendour
tejpaul,TBD
tejpreet,Glory of Love
tejraj,King of Light 
tejshri,Of divine powers 
teju,Full of Light; Glow; Pleasant
tejul,Sunshine
tejus,Brilliance
tejus,Radiant energy; Brilliance 
tejvarshith,Rain of Brightness
tejveer,Fast and Brave
tekchand,Ultimate
tekeshwar,Part of God
tekroop,Embodiment of the Lord's Support
temy, 
tena,By that; With that
tendara,Devotee of God
tenen,Rain; Born on Monday
tenith,Bright; Glow 
tentuka,Uncountable
tenu,Good 
tenu,Good
tereshan,Solid Redemption
tereshan,Solid redemption 
terra,Earth
tersham,Got After a Long Desire 
tesav,Humble
tevan,Godly 
tey,God Krishna; God Muruga
tez,Fast
tezveer,Brave; Fast
th,God
tha,Best
thaddeus,Praise or Heart
thadigiri,TBD
thakappanswami,Lord Murugan; Lord of Shiva (Murugan taught Shiva the meaning of Om, Thakappan - Shiva + Swami - Lord) 
thakarshi,Lord Krishna 
thakarshi,Lord Krishna
thaksha,King Bharat's son; Eyes like a Pigeon; Chopping; To make from wood 
thakshak,King Cobra
thakshith,Sculptured
thakur,Leader; God 
thakurjeet,Winning the Lord Master's Love; …
thalbir,Heroic Fighter; Brave Warrior
thalesh,God of land 
thalesh,God of Land
thamayan,Son
thambaiya,God
thambidurai,Intelligent; Small
thambiraj,TBD
thambusami,God Murugan
thamesh,Smart 
thamilarasan,king of Tamils; fluent in Tamil 
thamizoli,Music of Tamil Language
thamizvaanan,Thamizh King
thanak,Prize; Reward 
thanappan,Great Man; Good Among the People
thandavan,Lord Shiva
thandaveshvar,Lord Shiva
thaneesh,Ambition; Gold
thaneesh,Ambition 
thaneshwar,Lord Shiva
thangabalu,Golden 
thangabalu,Golden
thangadurai,Golden King
thangakani,Gold Fruit
thangam,Gold, Full of Joy, Precious
thangamani,Golden Gen
thangamuthu,White Gold
thangappan,God Father for Gold; Rich
thangaraj,King of Gold
thangasami,Golden Lord
thangavel,Lord Murugan; God
thangvelu,Lord Muruga
thanigai,Related to God Murugan
thanigaivelan,Lord Murugan in Thanigaimalai
thaninban,TBD
thanish,Diamond; Pleasant; Happy
thanmai,Attraction
thanmay,Engrossed
thanmayee,Concentration
thanuja,The Real
thanusan,Good
thanush,Good, The Realest, Beautiful
thanvik,Strong, Brave
thanvir,Strong
thanvye,Involvement
thara,Star
tharanum,TBD
tharsan,Gods Place
tharshini,Lord Shiva
tharshvin,Handsome
tharupan,Chandan; Lord Shiva
thashan,Lord Shiva
thathaiya,Grandfather
thavachelvan,Gift of God; Love
thavamani,Gift from God
thavanesh,Lord Shiva
thavaselvan,Gift of God
thavasu,Brave; Bold
thavineish,Lord Shiva
thayalan,Lord Shiva
thayanban,Devoted to Ones Mother
thee,Love
theekshanth,God's Son
theenash,Rising Star
theeran,Brave; Courage
theja,Lighting
thejasvin,Lord Shiva
thenappan,Kind
thennan,From the South
thennavan,TBD
thesan,Lord Shiva
thevan,Godly
thi,God Gift
thiaan,Without Any Limit
thiagarajan,King of Sacrifice
thiivyesh,Lord of Happiness and Satisfaction
thiiyadi,TBD
thilak,Auspicious
thilakam,A Mark in Fore Head
thilakar,Popularity
thileepan,A Leader from Srilanka
thillainathan,Lord Shiva
thillaivanan,God Siva
thillaivendan,Lord Shiva
thimappa,Lord Venkateshwara
thimbaiya,TBD
thimmaiya,Name of a Army General from Corgil
thinakar,TBD
thinakaran,Brilliant Like the Sun
thingarumbu,Sweet
thiresh,Lord Shiva / Vishnu
thirthesh,Holy Place; Tour to Holy Place
thiru,Respective; Beautiful
thirugnam,God Name
thirugnanam,Wise, Knowledgeable
thirukumaran,Name of Lord Murugan
thirumaal,Lord Vishnu
thirumal,Lord Venkateshwara
thirumalai,Abode of Lord Venkateshwara
thirumani,Precious Gem
thirumaran,Intelligent Man
thirumeni,Precious Body
thirumoorthi,God Vishnu
thirumudi,One of the Tamil King
thirumurugan,God Murugan
thirunavu,God Name
thirupathi,Sevan Hills
thirupati,Sri Venkateswara, Mahavirat
thiruvalluvan,Atmosphere
thiruvalluvar,Author of Tamil Classic
thiruvarangan,Lord Vishnu (Sri Rangam)
thiruvarasan,Intelligent King
thiruvenkatam,Lord Thirupathi
thiruvoli,Light from God
thiyagan,One who Sacrifices
thiyagu,Sacrifice
thnush,Lord Ganesha
thogulva,Hope
thollon,Friend
thommana,TBD
thondaimaan,A Great Chola King
thooyavan,Pure; Flawless
thoshit,Always Happy; Happiness
thri,Lord Shiva
thrilok,Three Worlds
thrish,Noble
thrisul,Weapon / Trident of Lord Shiva
thu,Lord Murugan, Autumn, God
thukral,TBD
thulasitharan,Lord Vishnu
thulo,Large
thumakedu,Lord Ganesha
thumilan,Flower and Treasure
thunaivan,Person who will Come Along
thundayal,TBD
thundyil,TBD
thurianand,Eternal Bliss
thuyamani,Clean Gem Bead
thyaganand,TBD
thyagraj,King of Sacrifice
tickoo,Tickle
tiger,Name of an Animal
tigy,Tidy
tihan,Quiet; Limitless
tihender,TBD
tijay,A Strong Ray of Sun
tijesh,Brightness in Life
tijil,Moon
tika,Spicy
tikam,Moving
tikaram,Lord Rama
tikekar,TBD
tikendra,Earth is Dependent
tikesh,Sweet; Lovable; Decent
tikkate,First
tikoo,Splinter
tikshan,Intelligent
tilak,Auspicious
tilaka,A Sign on Forehead; Indian Tika
tilakraj,The Best King
tilk,Sandal Wood Paste on Forehead
tilkraj,The Best King
tillu,Short
tilok,Tip, Auspicious
tilottam,The Best King
timayati,TBD
timeer,Darkness
timin,Large Fish; Born Near the Sea
timir,Night; Darkness
timirand,Darkness Destroyer; The Sun
timirari,The Sun
timirbaran,Dark
timit,Calm; Tranquil; Steady; Quiet
timmy,One who Honours God
timothy,Honouring God, Name of a Saint
tinish,Lovely; Braveness
tinu,TBD
tinuanand,TBD
tipesh,Name of Lord Shiva
tipu,Tiger
tiraj,Golden
tirath,Sacred Place
tiraya,Large Fish
tirishaanth,King of Surya Dynasty
tirishvar,Name of Lord Shiva
tirka,Light; Brightness
tirna,A Queen; A Crown
tirranand,Lord Shiva
tirth,Holy Place, Pilgrim
tirtha,Holy Place; In Holy Waters
tirthak,Holy; Free from Sin
tirthankar,Lord Vishnu
tirthankara,Jains Saint
tirthapad,Lord Krishna
tirtharaji,Lord Shiva
tirtharam,TBD
tirthatam,A Holy Object
tirthayaad,Lord Krishna
tirthayad,Lord Krishna
tirtheshwar,Maker of a Passage; Holy; Sacred
tirthi,Lord Vishnu
tirthraj,Kingdom of Holy Place
tirthrajsinh,King of Holy Place
tirthya,Spiritual
tirumala,Seven Hills; Lord Venkateswara
tirumalai,Holy Hill Mountain
tirunakshatra,Holy Star
tirunarayan,Lord Vishnu
tirupathi,Seven Hills
tirupati,Lord Venkatesha
tisata,TBD
tishaan,Powerful; Brave
tishan,Brave; Powerful
tista,A River
tisya,Fortunate; Auspicious; Lord Shiva
titan,Name of the Moon of Saturn
titha,Fire; Love; Time
titikshu,Enduring Patiently
titir,A Bird
tittiri,Butterfly
titu,Sweet
tivilan,Attractive; Discipline
tivra,Fast; Intense
tivradyuti,Hot Rayed; The Sun
tivranand,Lord Shiva
tivraya,Big; Most Biggest
tivri,Target
tivyapurusha,Lord Shiva
tiyansh,Lord Shiva
todara,Removing Fear
todika,Goddess
tofan,Storm; Heavy Wind
tohan,Thanks
tohit,Beautiful
tokini,An Iron Pitcher
tokma,Silver Star
tola,A Balance
tolana,Weight
tolaram,Mouse
tomadhara,TBD
tomara,Your Own
tomer,Tree, Palm Tree, Signifies Tall
tomesh,Tom+esh Tom (Preety
tomi,The People; Twin; Happy Child
tonish,Lovely
tonmoy,A Seeker; Engrossed; Pilgrim
tonto,Indulgence; Devotion
tosa,Tirath; Tarun
tosh,Strong Viking Soldier; Lord Shiva
toshaka,TBD
toshal,One who Walks with Everyone
toshan,Satisfaction; Pleasure; Joy
toshanav,Gem; Talented
toshin,Satisfied; Pleased
toshit,Happiness, Happy, Pleased
toshita,Satisfied; Pleased
toshith,Pleasant; Happy
toshiv,I am God; Praise; God Shiva
tota,Parrot
tourmal,Intelligent
toya,Water
toyalaya,Towel
toyanjali,Peace
toyaraj,The King of Waters; The Ocean
toyash,Intelligent
toyesa,Lord of Water
toyesh,Lord of Water
toyika,Satisfied
trailokva,The Three Worlds
trailokya,Three Worlds (Heaven Earth Hell)
trambak,Lord Shiva; Lord Venkatewara
trambakeshwar,Name of God Shiva and Vishnu
trang,Decoration, Dawn, Honourable
tray,Third in Order
trayambak,One Another Name of Lord Shiva
treejal,Lord Shiva
treet,Lord of Water; Holy Water
tresh,Sun; Water
triaksh,The One with Three Eyes
triambak,Lord Shiva
trianksh,TBD
triansh,Parts of Three God
tribang,Lord Krishna
tribhawan,Holy Garden
tribhovan,One with Knowledge of Three Worlds
tribhuvan,The Three Worlds
tridaksh,Name of God
tridax,One of Name of God
tridev,Hindu Trinity
tridham,Shining in the Three Worlds
tridhaman,The Holy Trinity
tridhatri,Lord Ganesh
tridhatu,Consisting of Three Matters
tridib,Heaven
tridip,God of Fire; With Three Lights
tridiva,Heaven
trigun,The Three Dimensions
trigya,Lord Buddha
trigyesh,Lord Buddha
trihaan,Bundle of Joy; Another Name of Joy
trijal,Lord Shiva
trijat,Lord Shiva
trijit,TBD
trijosh,Dynamic, Bright
trikakud,Mountain; Prince
trikamji,Saint of Bardai Brahmin
trikay,Lord Buddha
trikey,A Buddha
trikshay,Lord Shiva
triloch,Three Eyed
trilochan,One with Three Eyes, Lord Shiva
trilock,TBD
trilok,Name of Lord Shiva
trilokanath,Lord Shiva
trilokchand,Moon of the Three Worlds
trilokee,Lord Shiva
trilokesh,Lord Shiva, Lord of Universe
triloketh,Lord Siva
triloki,Name of Lord Shiv
triloki-nath,Lord Shiva
trilokjit,Conquering the Three Worlds
trilokva,TBD
trilokya,Three Worlds (Heaven Earth Hell)
trimaan,Worshipped in Three Worlds
triman,Worshipped in Three World's; …
trimann,Worshipped in Three Worlds
trimurti,The Holy Trinity
trinabh,Lord Vishnu; 3 Sky
trinabha,Lord Shiva
trinadh,TBD
trinaksh,Third Eye; Lord Shiva
trinamani,Jewel; Sapphire
trinanku,Fragrant Grass
trinath,Lord Shivtripur Three Cities
trinay,Name of Lord Shiva; Three Eyes
trinayan,Lord Shiva
trinetra,Lord Shiva Another Name
tripan,Pleasing; Refreshing
tripat,Fulfil, The Holy Trinity
tript,Contended
triptaman,With a Contended Soul
tripur,Three Cities
tripura,Lord Vishnu
tripurajit,Lord Shiva
tripurari,Lord Shiva; The Enemy of Tripur
tripushkar,Decorated with Three Lotus Flowers
trirav,Making Three Types of Sound
trisanu,An Ancient King
trish,Nobel; Three God
trishaan,Lord Krishna
trishab,Required; Success
trishabh,Lord Shiva
trishal,Popularity; Lord Shiva
trishan,King of Joy; Victory
trishanjit,Lord Vishnu; Lord of Suriya (Sun)
trishank,A King of the Surya Dynasty
trishanku,A King of the Surya Dynasty
trishar,Pearl Necklace
trishav,Success
trishaw,Success; Lord Shiva
trishikh,Trident; Pointed
trishira,TBD
trishiv,Three Avatar of Lord Shiva
trishla,Mother of Lord Mahavir
trishneet,Gift of God
trishnil,Thirst
trishnit,TBD
trishukra,Triply Pure
trishulank,Lord Shiva
trishuldhari,Name of Lord Shiva
trishulin,Lord Shiva
trishva,Three World
trishvar,Name of Lord Shiva
trisul,Weapon / Trident of Lord Shiva
tritiya,A River
trivansh,Part of Three World
trivarchak,Shining in Three Dimensions
trivashtap,TBD
trivedh,Lord Bramha - Vishnu - Mahesh
trivendra,TBD
triveni,Meeting Point of Three Rivers
trivesh,One who Knows Three Vedas
trivid,One who Knows the Three Vedas
trividya,TBD
trivikram,Lord Vishnu
trivikrama,Conqueror of All the Three Worlds
triyaksh,Three Eyes
triyambaka,Lord Shiva
triyog,Controlling All Three Dimension
trn,Heaven; The Saviour of All
trumbak,Lord Shiva; Lord Venkatewara
trupal,Agile
trupesh,Satisfaction; Angel of Death
trupt,Satisfied
truptesh,Satisfied
trushal,Curiosity; Thirst; Wish
trushant,TBD
trushay,TBD
trushith,Enthusiasm; Hunger
tsali,Wise One; Owl
tsewang,Empowered Life
tshering,Long Life; Graceful
tthya,Truth; The Fact
tubal,The Earth, The World, Confusion
tufan,Storm
tuhar,TBD
tuhin,Snow; Cold
tuhinsurra,White as Snow
tujaram,Good Boy
tuka,Saint; Young Boy
tukaram,A Poet Saint
tula,Balance scale; Zodiac sign Libra 
tula,Balance Scale, Zodiac Sign Libra
tuladhar,Scale Holder
tulaja,Indian Goddess of Mercy
tulaji,Balance; A zodiac sign 
tulaji,TBD
tulak,Thinker 
tulashiram, 
tulasi,Sacred Herb; Basil Plant
tulasidas,Basil Plant
tulasiram,TBD
tuliln,Snow; Moonlight 
tulinder, 
tuliphala,Young Boy
tulsa,A Sacred Medicine Plant
tulshidas,The Incomparable One
tulsi,The Incomparable One
tulsidaas,Servant of Tulsi
tulsidas,A famous saint; Servant of Tulsi (Basil plant) (Sanskrit scholar and poet who created Ramcharitmanas, a version of Valmiki Ramayana in local Avadhi language)
tulsidas,A Famous Saint
tulsikumar,Son of Tulsi
tulsiram,TBD
tulsy,A Sacred Tulasi Plant
tulwar,Enjoying
tulya,Of the Same Kind
tumbura,Servant of Tulasi or Basil Plant
tumesh,One with Nice Eyes
tumkur,Your Place
tunav,A Flute
tunava,A flute 
tunava,A Flute
tunda,Lord Shiva
tunda,Lord Shiva; Mouth; Face; The point of an instrument; A name of Shiva 
tunga,Prominent; Erect; Chief; Strong
tunganath,Lord of the mountains 
tunganath,Lord of the Mountains
tungar,High; Lofty 
tungar,High; Lofty
tungara,Masked
tungashail,With High Words
tungavena,Loving Heights; A River
tungesh,Moon
tungesh,The Moon 
tungeshwar,Lord of the mountains 
tungeshwar,Lord of the Mountains
tungish,Lord Shiva; Lord Vishnu
tungish,Lord Shiva; Lord Vishnu 
tungishwar,Lord of the Night; Lord Shiva
tunish, 
tunna,Very Clever Person
tupam,Love
tupam,Love 
tupil,Moon
turag,A thought; Agile; Mind 
turan,Sky; Brave
turang,A thought 
turang,A Thought; Horse; Mind
turanya,To be Swift
turanyu,Swift
turanyu,Swift 
turashat,Another name for Lord Indra; Overpowering the mighty 
turni,Clever; Fast; Quick
turvash,Overpowering; Victorious
turvasu,A Son of Yayaati
turvasu,A Son of Yayaati (A son of yayaati)
turvayan,Overpowering
turvi,Superior
turviti,Superior; Overpowering
turyamaya,TBD
tusar,Water Drops; Smart; Ice
tushaan,Desire; Wish
tushaar,Frost
tushaar,Ice; Snow; Fine drops of water; Cold 
tushae,Desire
tushant,Power 
tushar,Ice; Snow; Fine drops of water; Cold 
tushar,Water Drops, Frost, Mist, Snow
tushara,Snow; Dew Water
tusharakar,Cold Rayed; The Moon
tusharanshu,Cold Rayed; The Moon
tusharkanti,Lord Shiva
tusharkanti,Lord Shiva; Beloved of the snow mountains; Epithet of Shiva 
tusharsuvra,White as Snow
tusharsuvra,White as snow 
tushat,Ice
tusher,Snow
tushil,Protector; Shield
tushin,Satisfied 
tushin,Ocean
tushir,New small leaf 
tushir,New Small Leaf
tushit,Satisfied; Another name of Lord Vishnu; An incarnation of Vishnu 
tushiva,You are Lord Shiva
tushnimsara,Fine Drops of Water
tushratta,Star
tushti,Satisfaction; Contentment
tushtiman,Satisfied
tushya,Satisfied; Lord Shiva 
tushya,Lord Shiva; Satisfied
tusshar,Water Drops; Frost
tusya,Lord Shiva
tusya,Satisfied; Lord Shiva 
tusya udarchis,Lord Shiva 
tuvidymna,Very Glorious, Powerful
tuvidyumna,Lord Indra 
tuvidyumna,Lord Indra
tuvijat,Lord Indra
tuvijat,Lord Indra 
tuviksh,Powerful; Lord Indra's Bow
tuviksh,Powerful Lord Indra bow; Strong 
tuvimanyu,Very Zealous
tuvishravas,Highly Renowned; Fire
tuvishtam,Strongest
tuya,Pure
tuyam,Water; Strong; Rapid 
tvashta,Creator of Living Beings
tvashtadhar,Abode of Creation
tveshin,Impeteous; Impulsive 
tvesin,Impetuous
tvish,Brilliant; Bright 
twansh,Part of God
twish,Bright
tyaagaraaj,A Deity
tyadin,Present and Future Existence
tyag,Sacrifice; Lord Indra
tyag,Sacrifice 
tyagaraj,A deity 
tyagaraj,A Deity; Lord Rama
tyagesh,The Lord of Sacrifices
tyagi,Sacrifice; One who has Renounced
tyagraj,Sacrifice King
tyagraja,A famous poet 
tyagraja,A Famous Poet
tyagu,Sacrifices
tyriq,Evening Caller; Star
uba,The Wealthy, Lord, Old Woman
ubadah,Servant of God, Worship
ubaid,Faithful; Servant of Allah
ubayy,One with High Self Esteem
ubendiran,Lord Umesh
ubhay, 
ubriani,TBD
ucchal,The Mind; Understanding
ucchit,Delightful; Proper; Fit; Right
uchadev,Lord Vishnu; Superior God; An epithet of Vishnu or Krishna 
uchadev,Lord Vishnu
uchchala,TBD
uchchdeva,TBD
uchit,Appropriate; Right; Correct
uchit,Correct 
uchith,Correct 
udaar,Humble
udadhi,Ocean
udai,To rise; Blue Lotus 
udai,The Rising, To Rise
udain,Rising Sun
udanda,Nemesis of evils and vices 
udanda,Nemesis of Evils and Vices
udank,Deep
udant,Correct Message
udant,Correct message 
udanth,Correct message 
udanvat,The Ocean; Rishi
udanya,TBD
udapi,God; One who Attains Success
udar,Generous 
udar,Generous; Liberal
udara,Generous; Faithful; Great
udaradhi,Wise; Intellectual
udarak,Excellent Person
udarathi,Lord Vishnu; Rising; An epithet of Vishnu 
udarathi,Lord Vishnu
udarchis,Lord Shiva; Shining or blazing upwards; Luminous; A name of Shiva; A name of Kandarp; A name of fire 
udarchis,Lord Shiva
udarsh,Brimming 
udarsh,Brimming
udath,Kingly; Gentle
udatta,God is One
udavasu,Treasure of Nobility
uday,To rise; Blue Lotus 
uday,Rising, To Rise, Appearance
uday tej,Rising Sun 
udaya,To Rise; Rising Sun; Prosperity
udaya kumar,Dawn 
udayachal,Eastern horizon 
udayachal,Eastern Horizon
udayaditya,Sunrise; Rising Sun
udayagiri,Mountain of Sunrise
udayamana,TBD
udayan,Rising; Name of a king of Avanti 
udayan,Rising Up, Rising
udayana,Rising Sun
udayanan,Lord Vishnu / Sun Rise
udayaravi,Rising Sun
udayashva,Fast; Progressing; Lord Vishnu
udayasooriyan,Rising Sun 
udayasooriyan,Rising Sun
udaybhan,The rising Sun 
udaybhan,The Rising Sun
udaychandra,Sunrise Moon
udaye,To Appear
udayin,Rising; Prosperous; Lord Vishnu
udayjit,Conqueror of the Rising Sun
udaykant,Rising Sun; Radiant
udayraj,Rising king; Lord of stars 
udayraj,Rising King
udaysinh,To Rise; Appearance; Sunrise
udayvir,Emerging as a Hero
udayyan,The Rising Sun
udbal,Mighty
udbal,Mighty 
udbala,Strong
udbhasa,TBD
udbhat,Extraordinary; Excellent
udbhav,Origin 
udbhav,Rising with Glory; Creation
udbhava,Roots
udbhid,Sprouting; Germinating
