sejal,River water; Pure flowing water 
sejal,River Water, Pure Water
sejashri,Feeling 
sejol,Pure Water; Flowing Calm Water
sejuti,Sweet; Cute
selesta, 
selina,Star in the Sky 
selina,Star in the Sky, Moon
sellathangam,TBD
selma,Fair 
selma,Fair, Protected by God
selva kumari,Girl with lots of wealth 
selvakumari,The Pricess of Money
selvalakshmi, 
selvam,Wealth and Beauty
selvanayaki,Pure; Depth in Character
selvarani,Fair, Charming, Good Looking
selvi,Sign of wealth 
selvi,Happy Prosperous Daughter
selvy,Happy Prosperous Daughter
semanti,Parting line; A white rose 
semanti,A White Rose
senajita,Vanquishing Armies
senavati,Name of a Raga 
senbagam,Glowing Flower
senbagam,Most beautiful flower; Glowing flower 
senisa,Intelligent; Artist
senni,Queen
senora, 
senorita,Sweet
senthilkumari, 
seona,God is gracious 
sephali,Night Flower
serena,Joy, Quiet, Calm, Peaceful
serena,Quiet 
serene, 
sesha,The serpent who symbolises time 
sesha,Serpent who Symbolises Time
seshaveni,Lord Krishna Dancing on the Snake
seshaveni,Lord Krishna dancing on the snake 
seshwitha, 
sesta,Best of the Best; Sixth
setaara,Star
setara,A Star
setasree,Beautiful
sethulakshmi,Goddess Lakshmi; Worth 
sethuramani,Quiet; Calm
sethurani,Queen of Bridge
seva,Worship 
sevali,Smart
sevali,Green flowerless plants 
sevanthi,Beautiful Flower
sevanti,Flower
sevantika,A Beautiful Flower
sevati,White rose 
sevati,White Rose
sevita,Cherished 
sevita,Cherished; Worshipped
sevitha,Cherished 
sevvanthi,Beautiful Flower
seya,Shadow; Divine 
sezal,River / Pure Water, Real
sha,Beautiful, Natural, Goddess Durga
shaachi,The powerful or helpful (Celebrity Name: Kumar Gaurav)
shaakambharee,Worship
shaakha,Branch 
shaakya,Capable
shaalinee,A Flower
shaalini,Intelligent, Talented, Modesty
shaalu,Beautiful; Calm
shaambhavi,Consort of Shambhu
shaambhavi,Consort of Shambhu, Goddess Parvati 
shaani,Beautiful Face, Inspiring
shaantaa,White Rose
shaanti,Peace 
shaanti,Calmness; Peace
shaantiva,Peaceful; Friendly; Benevolent; A deity 
shaanvi,Sun; Attractive; Goddess Lakshmi
shaarav,Pure and innocent 
shaarav,Pure and Innocent
shaaravi,Happy
shaaravi,Innocence; Purity 
shaarika,Shining, Participant, Autumn
shaarmila,Preety
shaarvi,Beautiful; Goddess Durga / Parvati
shaaya,Shadow
shabab,Beauty
shabalini,A mossy 
shabalini,A Mossy
shabana,Decorated, Belonging to Night
shabara,Distinguished; Marked 
shabari,A tribal devotee of Lord Rama; One who lives in Sabari hill; Lord Ayyappa (Devotee of Ram who offered him berry fruit)
shabari,A Tribal Devotee of Lord Rama
shabbana,Belonging to Night, Famous
shabda,Word 
shabda,Word; Sound
shabhayata,Culture
shabhayata,Culture 
shabhya,Mannered
shabnam,Mist, Snow, Dew, Morning Dew
shabnum,Sew
shabri,A Devotee of Lord Rama
shabu,Calm, Dewdrop, Snowdrop, Peace
shachee,A Holy's Cow Name
shachi,Indrani; Power; Agility; Help; Kindness; Talent; Elegance kindness (Wife of Lord Indra)
shachi,Wife of Lord Indra
shachika,Kind; Elegant; Talented 
shadaevi,A Goddess
shadhana,Worship, Long Practise, Study
shadhani,Aim of Goal
shadhwi,Simplicity; Virtuous Woman
shadwi,Virtuous Woman; Simplicity
shaeena,Beautiful
shaela,From the Fairy Palace
shafa,Cure; Decent
shafak,Affection, Sympathy, Fear
shafali,A Beautiful Flower
shafana,Integrity and Virtuous
shaffaly,Sweet Smell
shafi,Pain Reliever
shafiya,Simple; Exotic; Noble; Princess
shafu,Beautiful; Intelligent 
shagana,One of Raaga 
shagana,One of Raaga
shagoon,Omen; Luck; Fortunate; Auspicious moment 
shagufta,Happy, Bud of Flower, Blooming
shaguftha,Fragrance
shagun,Omen; Luck; Fortunate; Auspicious moment 
shagun,Auspicious Moment
shaguna,Auspicious Moment
shaguni,Possessed of Good Qualities
shahana,Raaga or patience; Queen 
shahana,Princess; One with Patience; Queen
shaharika,Goddess Durga's Devi 
shaharika,TBD
shaharsa,Happiness; Joy
shahavilasa,Dew
shahay,Helpful; Friend 
shahazadi,Princess
shahbala,Cherished
shahd,Honey; Perfect
shaheena,Tender; Falconess; Soft; Gentle
shahila,Being Near; A River
shahin,Princess; Royal
shahina,Princess, Falconess
shahista,Never Changed; The Queen
shahistha,Educated; Never Changed
shahita,Being Near; A River
shahitha,Being Near; A River
shahnas,A Tune
shahnzay,Princess of Royal
shahzeela,Beautiful
shaifali,Sweet Smell
shaifaly,Sweet Smell
shaiju,The Power from Sun
shaila,Another name of Goddess Parvati; Who is living in mountain 
shaila,Stone, Mountain, Goddess
shailabala,Speech
shailaja,Name of a River, Goddess Parvati
shailaja,A river; Daughter of mountains, Name of Goddess Parvati, Wife of Shiva 
shailarani,Stone; Mountain
shailasha,Goddess Parvati, One who lives in the mountain 
shailasha,Parvati
shailashree,Goddess of Mountain
shailbala,Goddess Parvati
shailee,Style; Carved in rock; Face; Habit 
shailee,Style
shaileja,Daughter of Mountains
shaileja,A river; Daughter of mountains, Name of Goddess Parvati, Wife of Shiva 
shailender,King of Mountains
shailendri,Peak of Mountains
shaileshi,King of Mountain; Lord Shiva
shaileshri,Near
shaili,Style; Carved in rock; Face; Habit 
shaili,Style, Traditional, Behaviour
shailini,Intelligent; Talented
shailja,Another name of Goddess Parvati, Shailputri 
shailja,Strong; Goddess Parvati
shailla,Mountain, Stone, Goddess
shailu,Goddess Parvati
shailvi,Goddess Parvati
shaily,Style; Way
shailya,TBD
shailza,Daughter of Himalaya; Wife of Lord Shiva; Parvati 
shaima,Flower; Good Nature; Peace
shaina,Beautiful; Happiness; Lucky
shaine,Always Shining, Brightest
shainee,Fasting Woman
shaini,Shine; Fasting Women
shaiphali,Princess of Joy; Night Queen
shaira,Poetess; Princess
shairvee,TBD
shaisha,Lord Shiva 
shaisha,Lord Shiva
shaishtha,Best of All; Most Glorious
shaista,Well behaved; Modest; Disciplined; Cultured; Eminent 
shaista,Beautiful, Gentle, Courteous
shaitha,God
shaivee,Prosperity
shaivi,Prosperity; Wealth; Auspiciousness 
shaivi,Prosperity
shaivya,Auspicious
shaivyaa,Auspicious; Devoted
shajani,Well Loved; Night
shajee,Bold, Clever, Courageous
shaji,Beautiful; Loving
shajitha,Friendly
shajiyaparveen,Beautiful Star
shajna,Beauty
shaka, 
shaka,Beautiful, The Sun
shakambari,Goddess Parvati
shakambari,Goddess Parvati; Shaka - vegetables; Ambari - the one who bears; Bhri - to nourish 
shakambhari,The herb-nourishing Goddess 
shakaya,Voices in the Wind Life
shakeel,Handsome
shakeela,Beautiful; Well Shaped; Pretty
shakha,A Tree Branch
shakila,Beautiful, Kind, Shapely
shakini,Goddess Parvati; Helpful; Powerful; Goddess of herbs; Epithet of Parvati as the procurer of plants 
shakini,Goddess Parvati
shaksha,Witnesses
shakshi,Witness; Evidence 
shakshi,Evidence; Witness; Goddess Durga
shakshitha,Goddess Devi
shakshya,Witnesses; Light of the Way
shaksi,Witness; Variant of Saxi / Shakshi
shaksika,Witness; Goddess Durga; Evidence
shakthi,Powerful; Goddess Durga; Power; Vigour; Ability; The female energy of a God; Another name for Lakshmi; Saraswati the feminine energy of a God; Aid; Sword; Gift 
shakthi,Power; Goddess Durga; Fire
shakti,Energy, Power, Goddess Durga
shaktita,State of Being Powerful, Capacity
shakun,Auspicious
shakuni,Prosperity
shakunika,Goddess Parvati
shakuntala,Brought Up by Birds
shakuntala,Brought up by birds; The heroine of Shakuntala 
shakunthala,Brought up by birds; The heroine of Shakunthalam 
shakunti,Daughter of Shakuni; A Bird
shakuntla,Flying Bird
shakuntla,Brought up by birds; The heroine of Shakunthalam 
shalabha,Butterfly
shalaka,Goddess Parvati; A javeline; Dart; An arrow; A ruler; A domino; A pencil; A sprout; Small stick; Needle; Name of the consort of sage Dhananjay 
shalaka,Goddess Parvati
shalakha,Goddess Parvati; A javeline; Dart; An arrow; A ruler; A domino; A pencil; A sprout; Small stick; Needle; Name of the consort of sage Dhananjay 
shalakha,Goddess Parvati
shalalu,Perfume 
shalalu,Perfume
shaleen,Praiseworthy
shaleni,Settled; With a Fixed Abode
shali,Beautiful, Manner of Acting
shalika,Flute
shalika,Flute 
shalima,Safe; Healthy; Happy 
shalimar,Beautiful; Strong
shalimathi, 
shaline,Charming, Sensible, Evening
shalinee,Bashful; Modest 
shalinee,Intelligent; A Flower; Sensible
shalini,Intelligent, Sensible, Talented
shalini,Modest 
shalinie,Settled, With a Fixed Abode
shaliny,One who is Modest
shalishaa, 
shalley,Art; Style; Form of Shelly
shallini,Sensible; Intelligent; Charming
shallisha,Beautiful; Lovable
shallni,Sensible; Intelligent
shallu,Calm Beautiful; Old Ancient Cloth
shalmala,Goddess Parvati
shalmali,Silk cotton tree 
shalmali,Name of a Tree; Silk-cotton Tree
shalna,Cute Princess
shalnee,Settled, With a Fixed Abode
shalni,Settled; With a Fixed Abode
shaloni,Charming
shaloo,Beautiful; Calm
shalu,Master of the right path 
shalu,Old Ancient Cloth; Calm; Beautiful
shalvee,Beautiful; Intelligent 
shalvi,Beautiful; Intelligent 
shalvi,Peace of God
shalvika, 
shalya,Wonderful
sham,Quiet; Tranquillity; Calm; Abstract meditation on Brahman; Quietism personified as a son of Dharma; Epithet of Lord Vishnu; Peace 
shama,Light, A Flame, Silk-cotton Tree
shamal,Garland of Rudraksh 
shamal,Lord Krishna
shamala,Requested of God; Lord Krishna
shamalangi,Name of a Raga 
shamali,Colours of Krishna
shamani,Peace; Night
shamani,Calming; Night 
shamanta,Love; Passion; Equality
shamata,Modesty
shambari,Illusion 
shambari,Illusion
shambavi,Goddess 
shambhava,Possible
shambhavi,Consort of Shambhu, Goddess Parvati 
shambhavi,Goddess Parvati / Durga
shambhawi,Goddess Durga
shambhukanta,Wife of Shambhu, Parvati (Wife of Shambhu)
shambhukanta,Wife of Shambhu; Parvati
shambhvi,Goddess Durga; Derived from Shambhav; Shambhav - peacefully born 
shambhvi,Goddess Durga
shambuti,Born; Manifested
shamee,Tree which Like Lord Ganesha
shameema,Scent; Flavour
shameena,Super; Beautiful
shameera,A flower; A Chameli flower 
shameeta,Peacemaker; Who is calm and disciplined; Peaceful; Calmed; Prepared 
shami,Leaves Offered to Lord Ganesha
shamiana,Tent
shamiksha,Nearby
shamila,A Fragrant Breeze
shamili,Beautiful Angel, A Stone Slab
shamim,Fragrance, Fire, Sweet Scent
shamina,Peace, Patience, Calm, Pacific
shamini,Peaceful, Tranquil, Pacific
shamini,Name of Hindu Goddess Durga 
shamir,Rock that can Penetrate Metal
shamira,A flower; A Chameli flower 
shamisha,Calm; Tranquil; Pacific
shamiska,Lovely, Lord Shiva
shamita,Calmed; Peace Maker
shamita,Peacemaker; Who is calm and disciplined; Peaceful; Calmed; Prepared 
shamitaa,Peacemaker; Who is calm and disciplined; Peaceful; Calmed; Prepared 
shamitha,Peacemaker; Who is calm and disciplined; Peaceful; Calmed; Prepared 
shamitha,One who is Calm - Disciplined
shamla,Air; Breeze; Gorgeous
shamlee,Dawn
shamlee,Dawn 
shamma,Pinch (of Snuff)
shammy,God Ganesha's Fev Plant
shampa,Lightning 
shampa,Thunder / Lightning
shamruti,Love
shamsini,Fulfilled
shamta,Modesty, Capabality
shamugapriya,Fragnance
shamvitha, 
shamya,Beautiful
shana,Beautiful, Old, Ancient
shanam,Cuteness
shanasa,Praise; Wish
shanata,Peaceful
shanavi,Goddess Laxmi
shanaya,God Gift, First Ray of the Sun
shanaya,Eminent; Distinguished; Born on Saturday; First ray of the Sun 
shanbhavi,Another name of Goddess Durga 
shanda,God is Gracious; Stone; Goddess
shandhi,Promise; Compact; Evening
shandhika,Rites to Promote Peace
shandhiya,Evening Time
shandhvi,Goddess Parvati / Durga
shandhya,Evening Time
shaneeta,TBD
shangavi,TBD
shangita,Musical
shanhitha,Code 
shania,Eminent; Distinguished; Born on Saturday; First ray of the Sun (Celebrity Name: Sanjay Kapoor)
shanidhya,TBD
shanika,God is Gracious
shanika,Good; Flute 
shanima,Blessings of Goddess Durga
shanish,Amazing; Generous
shanisha,Generous; Amazing
shanishka,Generous; Amazing; Lord Krishna
shaniya,Pure Beauty; Form of Shana
shaniya,Eminent, Distinguished, Born on saturday, First Ray of the Sun 
shanjana,Gentle; Creator 
shanjanaa,Gentle in Harmony; Peaceful Nature
shanjhana,Gentle
shanjhavi,Evening
shanjhunee,Devoted to Lord Hanuman
shanjita,Victorious; Successful
shankana,Wonderous; Awe-inspiring 
shankara,Lord Shiva
shankara,Giver of joy; Auspicious; A musical Raag 
shankari,Goddess Parvati
shankari,Goddess Parvati, Consort of Shankar 
shankarshini, 
shankhamala,Lightning; A Fairy Tale Princess
shankhamala,A fairy-tale princess 
shankhini,Mother of Pearls
shankhmani,Jewel Among Conch Shells
shankhvati,A River Full of Shells
shanmathi,Good sense 
shanmathi,Beautiful
shanmathy,Beautiful, Arise, Noble Minded
shanmati,Noble Minded
shanmika,Lord Shiva
shanmitha,Consort of yavati 
shanmitha,Goddess Laxmi
shanmuganayaki,Wife of Lord Shiva
shanmuka,Nice Face, Six Faced
shanmukha,Lord Shiva's Son; Lord of …
shanmukhi,Six faces Goddess; Name of naga Devatha 
shanmukhi,Six Faces Goddess
shanmuki,Six Faces Goddess; Name of Naga Devatha 
shanni,Creative
shannon, 
shanoli,Sweet Hearted / Kind Hearted
shanoo,Wife of Shan
shanooja,TBD
shansa,Praise 
shansa,Praise
shansita,Praise; Desired; Celebrated 
shanta,Peaceful; Calm 
shantabai,Peace Maker
shantachi,Beneficial
shantagauri,Peaceful; Calm
shantah,Peace; Name of a God
shantala,Goddess Parvati
shantala,Goddess Parvati; Calm cool 
shantana,Calmness; Peace Loving; Blessing
shantee,Quiet; Peace; Tranquillity
shantha,Peaceful
shantha,Peaceful 
shanthadevi,Praise
shanthakumari,Peaceful
shanthala,Goddess Parvati; Calm cool 
shanthala,Calm Cool
shanthamma,Mother of Peace
shanthamma,Mother of peace 
shanthi,Calm; Peace
shanthi,Peace 
shanthini,The meaning of the name is peace; calm; and quiet 
shanti,Peace; Silent
shantie,Peace; Quiet; Tranquillity
shantiva,Friendly; Kind; Deity
shantosh,Satisfaction
shantta,Peaceful; Spiritual
shanu,Innocent, Smile, Dark, Richest
shanusa,Innocent
shanvee,Beauty, Attractive, Glowing
shanveetha, 
shanvi,Goddess Parvati; Glowing; Attractive; Loveable; Goddess Lakshmi 
shanvi,Sun, Glowing, Attractive
shanvika,Goddess Lakshmi
shanvika,Goddess Lakshmi; One who will be followed 
shanvitha,Goddess Lakshmi; Peace-loving 
shanvitha,Goddess Lakshmi
shanya,Laxmi 
shanya,Beneficent, Radiant
shanz,Evening
shanzi,Evening; Name of Gods Place
sharada,Goddess of Learning; Saraswati
sharada,Goddess of learning, Goddess Saraswati 
sharadamani,Jewel Among the Lutes
sharadashri,Beauty of Autumn
sharadhi,Moon of autumn 
sharadi,As Lovely as an Autumn
sharadini,Autumn 
sharadini,Autumn
sharadiya,Strong; Bold
sharahana,To Appreciate
sharahna,To Appreciate
sharal,Easy
sharali,Union
sharan,Getting Shelter, A Plain
sharana,Shelter
sharanam,Shelter; Surrender
sharani,The Earth; Protector; Guardian
sharani,The Earth; Protector; Guardian 
sharanika,Shelter of God / Lord
sharann,Under Blessing of Lord
sharannya,To Give Home / Shelter
sharanya,To Give Home / Shelter, Peace
sharanya,Surrendered 
sharanya-sri,Peace
sharat,A Season
sharath,Gods Bride
sharavani,Born in the month of Shravan; Goddess Parvati; Universal; Complete 
sharavani,Flow
sharavi,Cool 
sharaya,Durga; Giver of Refuge
sharaya,A Goddess; Princess; Singer; Delight 
sharayu,A Holy River; River in Ayodhya
sharayu,River Sharayu; Holy river 
sharû, 
sharda,The Goddess of Art and Literature
sharda,Goddess of learning, Goddess Saraswati; Faith; Grace 
shardambha,Goddess Saraswati
shardambha,Goddess Saraswati; Amba - mother (mother Sharada) 
shardambha  ,Goddess Saraswati; Amba - mother (mother Sharada) 
shardha,Concentration; Veneration; Wish
shardha,Goddess of learning, Goddess Saraswati; Faith; Grace 
shardhika,TBD
shardhya,Bold; Strong
shardula,A Meadow
shareeta,Most Beautiful
sharhana,To Appreciate
shari,Arrow 
shari,From Fertile Fields, Forests
shariba,TBD
sharidya,TBD
sharika,Goddess Durga, Partner
sharika,Goddess Durga; A kind of bird, commonly called Mainaa; A bow or stick used for playing any stringed instrument; Name of the Tutelary Goddess of Shaareetaka, same as Saarikaa 
sharini,Earth
sharini,The Earth; Protector; Guardian 
sharinie,Guardian; The Earth
sharisha,Cherry
sharita,TBD
sharitah,Stream; River; Goddess Durga
shariva,Combined, United
sharjana,Creation
sharjeel,Simple
sharleen,Little and Womanly
sharlini,Loveable; Pure; Free Woman
sharmada,Earth; One who Confers Happiness
sharmada,Making prosperous; Shy 
sharmadha,Making prosperous; Shy 
sharmadha,Shy
sharmatha,Admirable; Selfless 
sharmi,Shyness; Pretty; Goddess Saraswati
sharmika,Beauty
sharmika,Beauty 
sharmila,Shy, Shyness, Modest, Happy
sharmila,Happy 
sharmilaa,Shyness
sharmilla,Shyness
sharmishta,Beauty and Intelligent
sharmishta,Beauty and intelligent 
sharmishtha,Beauty and intelligent 
sharmista,Beauty and intelligent (Wife of yavati)
sharmista,Wife of Yavati
sharmistha,Shelter; Wife of Yayati
sharmistha,Beauty and intelligent (Wife of yayat)
sharmita,Shyness; Friend
sharmitha,Shinning 
sharmitha,Shinning
sharmyla,Protection; Comfort; Refuge; Joy
sharna,Shelter; Security; One who Guards
sharnali,Sunset, Golden Light of the Sun
sharnay, 
sharnaya,Goddess Durga; Surrender 
sharnee,One who Guards
sharni,One who is Having Shelter
sharnie,Dirty Stunted Grass
sharnika,Shelter of God
sharnisha,One whose Giving Shelter
sharnita,The One who Gives Shelter
sharnitta,The One who Gives Shelter
sharny, 
sharnya,Shelter
sharnyaa,TBD
sharon,Plain, Princess
sharon,Sweet; Fragrance; Honey 
sharoo,Lord Vishnu; Full Moon
sharoon,Sweet; Fragrance; Honey
sharoz,Lotus Flower; Unique
sharrit,Flowing; Stream; River
sharrita,Flowing; River; Stream
sharshti,Universe
sharumathi,Full Moon
sharumathi,Full Moon 
sharunitha,Attractive 
sharv,Goddess Durga, Goddess Parvati 
sharva,Whole, Everyone, Auspicious One
sharvaani,Born in the month of Shravan; Goddess Parvati; Universal; Complete 
sharvada,Always; Conferrer of Everything
sharvani,Goddess Saraswati; Goddess Parvati
sharvani,Born in the month of Shravan; Goddess Parvati 
sharvaree,Modest; Modern
sharvari,The Night; Name of Goddess
sharvari,Night; Twilight 
sharvary,Name of Goddess; The Night
sharvi,Divine
sharvi,Divine 
sharvika,TBD
sharvilaa,Universal, Beauty, Sun
sharvina,Sound of Vina; Goddess Durga
sharvina,Goddess Durga, Derived from Sharv, Sharv - consort of Shiva; Night; Another name for Parvati 
sharvisha,Dvine Spirit
sharvita,A Goddess, Being Everywhere
sharvitha,Sweet; Conferrer of Everything
sharvwary,Witness 
sharvya,Bright; Loving
sharvya,Bright; Loving 
sharwada,Endless; Forever
sharwali,TBD
sharwan,Everywhere; Devoted; Generous
sharwani,Goddess Lakshmi / Durga
sharwani,Born in the month of Shravan; Goddess Parvati; Universal; Complete 
sharwaree,Night
sharwari,Night
sharwari,Night; Twilight 
sharwary,Night
sharya,Sweetie and Lovely
sharyu,Name of a River
sharyu,River Sharayu; Holy river 
shasha,Moon
shashi,The Moon
shashi rekha,Lord Chandra (Moon), Moon's Ray 
shashibaala,Goddess Durga
shashibala,The Moon
shashibala,The Moon 
shashika,Beautiful Moon
shashikaanta,Twilight
shashikala,Moon Light, Brightness of Moon
shashikiran,The Moon
shashimani,The Moon Stone
shashini,Moon
shashini,The Moon 
shashiprabha,Moon Light
shashiprabha,Moon light 
shashipriya,Pearl; The Moon
shashirekha,Moon Rays
shashirekha,Lord Chandra (Moon), Moon's Ray 
shashmi,Light
shashmita,Ever Smiling
shashmitha,Ever Smiling
shashra, 
shashwata,Perpetual; Permanent
shashwatee,Moon
shashwathi,Eternal
shashwati,Permanent; Perpetual
shashwati,Guarantee; Eternal 
shashwi,Goddess Durga
shasika,Part of Moon, Female Ruler
shasikala,Moon Light
shastha,One who rules 
shasthavi, 
shasthika,Goddess Durga
shasthika,Goddess Durga; Rice 
shasti,Praise; Hymn
shaswata,Lord Ganesha
shaswathi,Eternal
shaswathi,Eternal 
shaswati,Eternal; Long Lasting
shaswati,Guarantee; Eternal 
shatabdee,Hundred years, It means a period of 100 years century 
shatabdi,Period of 100 Years; Century
shatabdi,Hundred years, It means 100 years, Century 
shatajyoti,Moonlight
shatakshi,Goddess Durga
shatakshi,Goddess Durga; Night; The Goddess Parvati; Hundred eyed 
shatarupa,Goddess Saraswati; Lord Shiva
shatavari,Eternal
shatha,Aromatic, Eternal
shathurikasri,Silent
shathvika,Goddess Durga
shathvika,Goddess Durga; Calm 
shatice,Ninth Child
shatita,Chaste / Virtuous Woman
shaumita,Good Friends
shaumya,Soft; Smooth; Beautiful
shauna,Gorgeous; Lovely; Sweet; Heat; Fiery; God's gift 
shaunakshi,Lovely
shauni,Beautiful; Gold; Pretty
shaury,Brave
shaurya,Brave
shavali,Dusky; Dark
shavan,Monsoon
shavana,Mother
shavanta,Born in Monsoon
shavanti,A Flower; Born in Monsoon
shaveena,Gods Gift
shaveta,Saraswati
shaveta,Saraswati 
shavi,Brightness Like Sun
shavika,Productive; Generative
shavika, 
shavina,Smiling Face
shavini,Spring Season
shavita,The Sun
shaviyaa,Angel of Heaven
shavli,Clever; Dark
shavri,Beautiful; Dusky
shavy,Brightness like Sun
shavya,Perfect; Beautiful; Lord Vishnu
shawan,Rain
shawani,Rain During Monsoon Season
shawari,Dusky; Beautiful
shawly,Beautiful; Dark
shawn,Present; The Lord is Gracious
shawna,God is Merciful
shawra,Extremely Beautiful
shawran,TBD
shaxi,Witness
shaya,Salvation of God, Gift of God
shayaa,Worthy
shayali,It is a name of a flower; It is a white small delicate flower with nice scent 
shayamali,Goddess Durga
shayan,Companion; Kind Hearted; Precious
shayanaa,Intelligent; Beautiful
shayani,Clever, Evening
shayantani,Beautiful as God; Evening
shayanti,Symbol of Peace / Unity
shayanti,Symbol of Peace / Unity 
shayari,Poetry
shayari,Poetry 
shayesha,Shadow of God
shayesha,Shadow of God 
shayla,Another name of Goddess Parvati; Who is living in mountain 
shaylee,Blinded, Style
shayma,Having a beauty spot 
shayna,Pretty, Variant of Shane
shayna,Beautiful 
shaynthika, 
shayona,Starting letters of 3 prominent priests of Swaminarayan Sampradai; Decorated 
shayoni,Delightful; Clever
shayra,Poetess; Love - Peace; Beautiful
shazia,Princess; Happiness; Fragrance
shazili,Decorated; Beautiful Looking
shazmin,Princess; Flower of Heaven
shazna,Active
shaznie,Intelligent Understanding Friend
shazu,Sweet Heart; Beautiful
sheaddha,Reverence
sheekhsa,Education
sheela,Wife of Lord Brahma
sheela,Cool; Rock; Calm; With a good character 
sheeladevi,Indrani; Night
sheelangi,Good character; Strong like a stone 
sheella,Stone; Rock
sheelu,Stone; Rock
sheen,Brightness 
sheen,Brightness; Snow White
sheena,God's gift; Ankle bells; Brightness; Gaelic 
sheenal,Radiant; Female Peacock (Morni)
sheenu,Form of Sugar 
sheershika,Title; Headline; Important 
sheershika,Title; Headline; Important
sheetal,Cold; Very Cool
sheetala,A Virtuous Woman
sheevangi,Part of Lord Shiva
shefalee,A Beautiful Fragrant Flower
shefali,A Beautiful and Fragrant Flower
shefali,A flower; Perfumed; The Jasmine tree 
shefalika,A Flower; Little Flowering Plant
shehnai,Musical instrument 
sheil,Cultured
shejali,A Fruit
shekhar,Lord Shiva
shekhari,Chaplet; Peak; Diadem; Crest
shella, 
shelly,A way to do work 
shelza,Consort of Lord Shiva 
shema,Spice; Sweet smelling 
shemona,Listening Intently; Heard; Listen
shemunshi,The Indian White Rose
shemushi,Intellect; Understanding
shemyukta,Beautiful Eyes
shenaya,God is gracious 
shenbagam,Most Beautiful Flower
shenbagam,Most beautiful flower; Glowing flower 
shenetha,Graceful
shenita,Goddess Lakshmi
shenoa,Dove of peace 
sheoli,A river 
sherawali,Goddess Durga, Having lions 
shesha harani,Complete 
sheshma,Goddess Lakshmi
sheshna,God
shestha,Perfection
shetal,Having peace; Cool; Gentle; The wind; The Moon 
shetu,Bridge
sheva,Goddess Parvati
shevaani,Wife of Lord Shiva, Beauty
shevadhi,Wealth; Jewel
shevalini,Name of River
shevalini,A river 
shevanee,Beauty, Wife of Lord Shiva
shevani,Life and Death, Beauty
shevanti,A Flower
shevanti,A flower 
shevi,Odd; Adipoli
shevika,Helpful; Servant of Lord / God
sheyali,A Beginning of New Work
sheyali,A beginning of new work 
shezreen,Particle of Gold
shibani,Goddess Durga
shibani,Goddess Durga, The consort of Shiva, I.e., Durga, Parvati 
shichi,Glow 
shiddhi,To Aim; Wife of Lord Ganesha
shidheswari,Goddess of Knowledge / Wisdom
shiekha,Top of a Mountain; Flame
shielawatti,River
shiesta,Modest, Disciplined, Cultured
shiesta,Well behaved; Modest; Disciplined; Cultured; Eminent 
shifali,Member of the Orchid Family
shifali,Member of the orchid family; Princess of joy 
shifana,Curing Girl; Gods Gracious; Soft
shiffali,Princess of Joy
shifu,Teacher
shiithal,Cool 
shijina,God Shiva / Parvati
shika,Deer, Gentle, Top of Hill
shikha,Flame; Peak; Light 
shikhaa,Top of a Mountain
shikhandi,Yellow Jasmine
shikharini,Nature
shikriti,The Brighting Stars of Sky
shiksha,Education
shiksha,Education 
shila,Rock; Thunder
shila,Cool; Rock; Calm; With a good character 
shilavati,Name of River
shilavati,A river 
shilavatia,Name of a River
shilavatia,River 
shilna,Perfectly created 
shilp,Rock Art
shilpa,Stone; Shapely; Multi-coloured 
shilpashree,Peak
shilpee,Artist; Stone
shilpi,Sweety 
shilpika,Artist; Skilled in Art
shilpika,Designer; Artist 
shilpita,Well Proportioned
shilu,Rock; Stone
shima,Limit; Border; Fence
shimna,Scared 
shimran,Remembrance; Meditation
shimran,Meditation; Gift of God 
shimu,Shining Face
shina,Virtue; Good
shina,God's gift; Ankle bells; Brightness; Gaelic 
shinaya,Shine
shinchana,Sprinkle of Water, Droplets
shindhya,Belongs to Mountain / Ocean
shindujaah, 
shine,Brightness; Sun Rays
shini,To Shine Among All
shini,A woman having a white complexion; To shine among all; Sparkle to life 
shinitha, 
shinjani,Sound of Ankle Bell
shinjani,Sound of ankle bell 
shinjini,Ankle-bells; Anklet
shinjitha,Sweet Noise
shinu,Successful
shiny,Glorious, Shining, Brightness
shipali,One Type of Flower
shipra,A river; Cheeks; Jaw; The nose; A holy river 
shiraaz,Flame
shirali,Peacock
shiravani,Goddess Saraswati
shirdika, 
shireen,Sweet, Charming, Pleasant, Gentle
shireesha,Flower
shireesha,Flower; Shining Sun 
shiresha,TBD
shiril,Song of my soul 
shirina,Night 
shirina,Night; Singing Sweetly
shirisha,Flower; Shining Sun 
shirisha,Shining Sun, Goddess Lakshmi
shirja,Goddess Lakshmi; Creative 
shiromani,Crest Jewel; Superb Jewel
shiromauli,Crest Jewel; Disciplined; Cultured
shirpitha, 
shirsha,Top, One who is at the Top
shirshita,Goddess Lakshmi / Parvati
shisa,Glass; Mirror
shishira,A Delicate Flower; Winter; Moon
shishirkana,Particles of dew 
shishirkana,Particles of Dew
shishta,Goodness
shishta,Goodness; Used in Goddess Durga mata's Mantra 
shistha,Polite; Modest; Disciplined
shita,Variant of Sita; Wife of Lord Rama
shital,Having peace; Cool; Gentle; The wind; The Moon 
shitala,Cool; A Virtuous Woman
shitama,TBD
shitara,Star
shitari,Transformer
shitasi,A River
shitija,Horizon 
shitija,Goodness Sita; Horizon
shitika,Beauty of Life
shitika, 
shittal,Cool
shitu,Hope
